from_node_id,from_name,to_node_id,to_name,travel_time_min,distance_m
29,Lab 29,14,Lab 14,8.458040566006796,6582.938929423893
29,Lab 29,15,Lab 15,6.462462824945482,4822.890086983547
29,Lab 29,16,Lab 16,7.126861580615497,5361.481037262288
29,Lab 29,17,Lab 17,13.466494196214589,11082.29882457223
29,Lab 29,18,Lab 18,6.729767278626696,5086.317000916961
29,Lab 29,19,Lab 19,8.479083840714184,6956.909979813569
29,Lab 29,20,Lab 20,3.584446174220983,2818.1837269453345
29,Lab 29,21,Lab 21,7.673139901814055,6093.700202192542
29,Lab 29,22,Lab 22,8.118159297460066,6348.367958988909
29,Lab 29,23,Lab 23,6.159102616603957,5025.810174732524
29,Lab 29,24,Lab 24,16.33405095503678,13883.67112925699
29,Lab 29,25,Lab 25,2.9054788438640147,2011.3181566647415
29,Lab 29,26,Lab 26,1.453512419281236,1211.26034940103
29,Lab 29,27,Lab 27,7.262159259518725,5484.313628849785
29,Lab 29,28,Lab 28,3.077675266524482,2491.9910586650362
29,Lab 29,29,Lab 29,0.0,0.0
29,Lab 29,30,Lab 30,13.747571287249423,11719.547974580999
29,Lab 29,31,Lab 31,4.964147572696831,3889.643223219137
29,Lab 29,32,Lab 32,13.6737262227733,11084.195627157953
29,Lab 29,33,Lab 33,10.082282307089315,8101.213820141606
29,Lab 29,34,Lab 34,3.4701991202580227,2798.171909240768
29,Lab 29,35,Lab 35,8.361267000747901,6628.574867435178
29,Lab 29,36,Lab 36,8.74367223347614,6683.884948030541
29,Lab 29,37,Lab 37,4.436258892214825,3498.2299662005507
29,Lab 29,38,Lab 38,6.5858399255714435,4685.935965369483
29,Lab 29,39,Lab 39,2.533627826537871,1831.7685737676998
29,Lab 29,40,Lab 40,7.389011437827397,5457.129073038308
30,Lab 30,0,Central Hospital,17.130298102806933,14294.84263092814
30,Lab 30,1,Lab 1,15.352530366339264,12964.017050379352
30,Lab 30,2,Lab 2,13.958611085011766,12048.91484801791
30,Lab 30,3,Lab 3,13.478901580194425,11257.072401913714
30,Lab 30,4,Lab 4,19.551647728358976,17551.628984221086
30,Lab 30,5,Lab 5,12.747016322563022,11343.935119767993
30,Lab 30,6,Lab 6,8.29583595739849,6415.415070049031
30,Lab 30,7,Lab 7,20.233819836555863,17077.571284367736
30,Lab 30,8,Lab 8,20.240712731075465,17133.399294952946
30,Lab 30,9,Lab 9,12.69177949638464,10451.075854375933
30,Lab 30,10,Lab 10,13.828319469878029,11899.312911527713
30,Lab 30,11,Lab 11,7.405133615164519,6091.292922822233
30,Lab 30,12,Lab 12,13.831112148581765,11834.899687515697
30,Lab 30,13,Lab 13,8.15782153234948,6703.837997092596
30,Lab 30,14,Lab 14,12.996307825020313,10269.832863939915
30,Lab 30,15,Lab 15,15.590073446309637,13370.513376103574
30,Lab 30,16,Lab 16,12.677825608695949,11309.339762834457
30,Lab 30,17,Lab 17,21.6815124578653,18715.508756340772
30,Lab 30,18,Lab 18,17.406320679568314,13644.14781827706
30,Lab 30,19,Lab 19,9.889617125866833,7969.468365545138
30,Lab 30,20,Lab 20,10.854852601509462,9279.960362216485
30,Lab 30,21,Lab 21,18.3964162303479,15640.845203861778
30,Lab 30,22,Lab 22,20.027928128442593,16774.81851363722
30,Lab 30,23,Lab 23,10.944610095538799,9125.47996248076
30,Lab 30,24,Lab 24,3.6202831140198564,2508.7243034201574
30,Lab 30,25,Lab 25,14.019696183758025,11424.305864175123
30,Lab 30,26,Lab 26,12.361030101928744,10664.255647260161
30,Lab 30,27,Lab 27,8.320325878813831,7364.043561416095
30,Lab 30,28,Lab 28,14.39781420186524,12017.772713476728
30,Lab 30,29,Lab 29,14.31889444882913,12253.276483849531
30,Lab 30,30,Lab 30,0.0,0.0
30,Lab 30,31,Lab 31,15.275542515575845,12866.153770088504
30,Lab 30,32,Lab 32,24.397002551307153,20631.340628827187
30,Lab 30,33,Lab 33,20.805558635623164,17648.35882181084
30,Lab 30,34,Lab 34,15.110710525688203,13025.126243276953
30,Lab 30,35,Lab 35,10.454724668030423,7905.046820326771
30,Lab 30,36,Lab 36,20.85505563885151,17517.801421574324
30,Lab 30,37,Lab 37,16.91211893198859,13957.111197080712
30,Lab 30,38,Lab 38,13.460346476537255,11961.440486035544
30,Lab 30,39,Lab 39,14.214814167418277,11680.974621070927
30,Lab 30,40,Lab 40,18.70915037316815,15431.188013768176
31,Lab 31,0,Central Hospital,7.395603825063552,5588.778641983794
31,Lab 31,1,Lab 1,0.6598068582698738,549.8390485582281
31,Lab 31,2,Lab 2,6.023537525166197,4683.31577634359
31,Lab 31,3,Lab 3,2.510663145190683,1957.8653161572672
31,Lab 31,4,Lab 4,7.307356574298281,6619.380870115751
31,Lab 31,5,Lab 5,4.873657247360599,3711.9397184351355
31,Lab 31,6,Lab 6,9.823024363189651,7814.068183390821
31,Lab 31,7,Lab 7,9.314336011538677,7445.944242245219
31,Lab 31,8,Lab 8,5.98268736509658,4870.750503245307
31,Lab 31,9,Lab 9,7.078194995184893,4983.474204880969
31,Lab 31,10,Lab 10,2.475197458097795,1909.087660839572
31,Lab 31,11,Lab 11,10.020428522233532,7954.723917385304
31,Lab 31,12,Lab 12,3.50399640018652,2864.051513893825
31,Lab 31,13,Lab 13,9.90975067931547,7743.396103625999
31,Lab 31,14,Lab 14,12.247284412576684,9794.36214875446
31,Lab 31,15,Lab 15,2.663657091330178,1503.3033815476415
31,Lab 31,16,Lab 16,4.804466533493526,3677.344361501599
31,Lab 31,17,Lab 17,9.437221303804604,7783.260642235436
31,Lab 31,18,Lab 18,10.947848036111562,8368.51326977572
31,Lab 31,19,Lab 19,12.225206564150858,9751.509631860366
31,Lab 31,20,Lab 20,5.190394108779304,4059.0620918485456
31,Lab 31,21,Lab 21,4.138390864369017,3378.1964121541414
31,Lab 31,22,Lab 22,8.403504659800793,6558.508715564433
31,Lab 31,23,Lab 23,9.94834646317384,7985.727109361506
31,Lab 31,24,Lab 24,17.953175763372492,15188.488320129325
31,Lab 31,25,Lab 25,6.694722690433902,5158.236198574183
31,Lab 31,26,Lab 26,4.741771683817059,3745.25759613703
31,Lab 31,27,Lab 27,7.509206675782599,5959.277236427407
31,Lab 31,28,Lab 28,7.295756024009351,5774.187327523796
31,Lab 31,29,Lab 29,5.0594807878187735,4078.1457801010797
31,Lab 31,30,Lab 30,15.366696095585134,13024.365165453333
31,Lab 31,31,Lab 31,0.0,0.0
31,Lab 31,32,Lab 32,9.704515719005883,8006.640615184237
31,Lab 31,33,Lab 33,6.1130718033218985,5023.65880816789
31,Lab 31,34,Lab 34,3.4862870570464017,2808.816445204169
31,Lab 31,35,Lab 35,12.150510847317785,9588.491802064162
31,Lab 31,36,Lab 36,9.230632170209708,7301.49162350154
31,Lab 31,37,Lab 37,8.355645252645948,6619.96622228942
31,Lab 31,38,Lab 38,3.03490694042388,2188.2720753081026
31,Lab 31,39,Lab 39,6.629701064038191,5050.919434959472
31,Lab 31,40,Lab 40,11.511782495215153,8578.865329127178
32,Lab 32,0,Central Hospital,16.318634709897477,12848.643946946655
32,Lab 32,1,Lab 1,11.034352637206464,8489.13672617725
32,Lab 32,2,Lab 2,16.398083304102784,12622.613453962613
32,Lab 32,3,Lab 3,13.718785496795677,10591.313674758381
32,Lab 32,4,Lab 4,11.174681455729575,8853.962090277711
32,Lab 32,5,Lab 5,13.66796615327442,10476.692620449172
32,Lab 32,6,Lab 6,20.713449371774523,16073.81440717604
